x,y,color_group
0.6550692000,0.4426297600,2.0000000000
0.7105000000,0.3600000000,2.0000000000
0.7659308000,0.2773702400,2.0000000000
0.7910000000,0.2400000000,2.0000000000
0.5092500000,0.4800000000,2.0000000000
0.5495000000,0.4800000000,2.0000000000
0.5897500000,0.4800000000,2.0000000000
0.3281250000,0.4500000000,1.0000000000
0.3482500000,0.4200000000,1.0000000000
0.3683750000,0.3900000000,1.0000000000
0.4940692000,0.2026297600,1.0000000000
0.5495000000,0.1200000000,1.0000000000
0.6049308000,0.0373702400,1.0000000000
0.6300000000,0.0000000000,2.0000000000
0.9520000000,-0.4800000000,2.0000000000
0.9770692000,-0.5173702400,1.0000000000
1.0325000000,-0.6000000000,1.0000000000
1.0879308000,-0.6826297600,1.0000000000
0.1470000000,-0.4800000000,1.0000000000
0.1872500000,-0.4800000000,1.0000000000
0.2275000000,-0.4800000000,1.0000000000
0.2677500000,-0.4800000000,1.0000000000
0.3080000000,-0.4800000000,2.0000000000
0.3530000000,-0.4800000000,2.0000000000
0.4690000000,-0.4800000000,2.0000000000
0.5850000000,-0.4800000000,2.0000000000
0.6300000000,-0.4800000000,2.0000000000
0.0310000000,-0.2400000000,1.0000000000
0.1620000000,-0.2400000000,1.0000000000
0.2930000000,-0.2400000000,1.0000000000
0.4240000000,-0.2400000000,1.0000000000
0.4690000000,-0.2400000000,2.0000000000
0.0110692000,-0.2773702400,1.0000000000
0.0665000000,-0.3600000000,1.0000000000
0.1219308000,-0.4426297600,1.0000000000
0.1920000000,0.0000000000,1.0000000000
0.3230000000,0.0000000000,1.0000000000
0.4540000000,0.0000000000,1.0000000000
0.5850000000,0.0000000000,1.0000000000
0.6550692000,-0.4426297600,2.0000000000
0.7105000000,-0.3600000000,2.0000000000
0.7659308000,-0.2773702400,2.0000000000
0.7910000000,-0.2400000000,2.0000000000
0.8160692000,-0.2026297600,2.0000000000
0.8715000000,-0.1200000000,2.0000000000
0.9269308000,-0.0373702400,2.0000000000
0.9520000000,0.0000000000,2.0000000000
1.1130000000,0.2400000000,2.0000000000
1.1380692000,0.2773702400,2.0000000000
1.2060346000,0.3786851200,2.0000000000
1.2740000000,0.4800000000,2.0000000000
1.3419654000,0.5813148800,2.0000000000
1.4099308000,0.6826297600,2.0000000000
1.4350000000,0.7200000000,2.0000000000
1.1130000000,0.7200000000,2.0000000000
