letter,x,y
2.0000000000,-5.7952466658,0.2573802971
2.0000000000,-5.7555290718,0.2573802971
2.0000000000,-5.9805954371,0.2573802971
2.0000000000,-5.9474974436,0.2573802971
3.0000000000,-5.6030978114,-0.7200000005
3.0000000000,-5.5805978124,-0.6810288581
3.0000000000,-5.5114240710,-0.5612164255
3.0000000000,-5.4422503319,-0.4414039952
3.0000000000,-5.3730765928,-0.3215915626
3.0000000000,-5.3039028536,-0.2017791323
3.0000000000,-5.2347291122,-0.0819666997
3.0000000000,-5.2122291133,-0.0429955573
3.0000000000,-5.2618761058,0.0429955567
3.0000000000,-5.2453271090,0.0143318521
3.0000000000,-5.2287781100,-0.0143318526
3.0000000000,-5.6527448039,-0.6340088865
3.0000000000,-5.6302448049,-0.5950377441
3.0000000000,-5.5610710635,-0.4752253115
3.0000000000,-5.4918973244,-0.3554128812
3.0000000000,-5.4227235853,-0.2356004486
3.0000000000,-5.3535498461,-0.1157880183
3.0000000000,-5.2843761047,0.0040244143
3.0000000000,-5.6361958071,-0.6626725912
3.0000000000,-5.6196468081,-0.6913362959
3.0000000000,-5.1755395728,-0.0429955573
3.0000000000,-5.2287781100,0.0429955567
3.0000000000,-5.1956801165,0.0429955567
3.0000000000,-5.1625821208,0.0429955567
3.0000000000,-5.2149485972,-0.7200000005
3.0000000000,-5.1752310032,-0.7200000005
3.0000000000,-5.1355134092,-0.7200000005
3.0000000000,-5.0957958152,-0.7200000005
3.0000000000,-5.0560782212,-0.7200000005
3.0000000000,-5.0163606272,-0.7200000005
3.0000000000,-5.0660076197,-0.6340088865
3.0000000000,-5.0494586230,-0.6626725912
3.0000000000,-5.0329096240,-0.6913362959
3.0000000000,-5.2645955898,-0.6340088865
3.0000000000,-5.2248779958,-0.6340088865
3.0000000000,-5.1851604017,-0.6340088865
3.0000000000,-5.1454428077,-0.6340088865
3.0000000000,-5.1057252137,-0.6340088865
3.0000000000,-5.2480465930,-0.6626725912
3.0000000000,-5.2314975940,-0.6913362959
3.0000000000,-5.0096555594,-0.6755023377
3.0000000000,-4.9919348914,-0.5579005142
3.0000000000,-4.9742142256,-0.4402986906
3.0000000000,-4.9564935598,-0.3226968671
3.0000000000,-4.9387728941,-0.2050950436
3.0000000000,-4.9210522260,-0.0874932201
3.0000000000,-4.9143471582,-0.0429955573
3.0000000000,-4.9639941507,0.0429955567
3.0000000000,-4.9474451540,0.0143318521
3.0000000000,-4.9308961550,-0.0143318526
3.0000000000,-5.0593025519,-0.5895112237
3.0000000000,-5.0415818839,-0.4719094002
3.0000000000,-5.0238612181,-0.3543075767
3.0000000000,-5.0061405524,-0.2367057531
3.0000000000,-4.9884198866,-0.1191039296
3.0000000000,-4.9706992185,-0.0015021061
3.0000000000,-4.8782402546,-0.0429955573
3.0000000000,-4.8421333510,-0.0429955573
3.0000000000,-4.8917803435,0.0429955567
3.0000000000,-4.8752313467,0.0143318521
3.0000000000,-4.8586823477,-0.0143318526
3.0000000000,-4.9278872471,0.0429955567
